"","CVE_AGEB","ENT","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","AGEB","POB_TOTAL","P6A14NAE","SBASC","PSDSS","OVSDE","OVSEE","OVSAE","OVPT","OVSREF","OVSINT","OVSCEL","OVHAC","IM_2020","GM_2020","IMN_2020","IMNSon_2020","GMSon_2020"
"1192","2603000017603","26","Sonora","030","Hermosillo","0001","Hermosillo","7603",214,4,13.6363636363636,19.1588785046729,0,0,0,0,2.33644859813084,29.9065420560748,0,20.5607476635514,123.835736395982,"Muy bajo",0.967358339926612,0.92900059217322,"Bajo"
"1193","2603000017637","26","Sonora","030","Hermosillo","0001","Hermosillo","7637",279,8.45070422535211,17.6795580110497,20.7885304659498,0,0,0,0,3.2258064516129,55.9139784946236,2.8673835125448,67.3835125448029,120.63730572623,"Medio",0.942373398801314,0.871356965198625,"Medio"
"1194","2603000017641","26","Sonora","030","Hermosillo","0001","Hermosillo","7641",180,4.16666666666667,23.8461538461538,12.2222222222222,0,0,0,0,0,38.3333333333333,4.44444444444444,81.1111111111111,121.512411760387,"Bajo",0.949209399014976,0.887128539137439,"Medio"
"1195","2603000017656","26","Sonora","030","Hermosillo","0001","Hermosillo","7656",491,2.17391304347826,3.33333333333333,12.6272912423625,0,0,0,0,0.203665987780041,5.70264765784114,1.0183299389002,5.4989816700611,126.138841569235,"Muy bajo",0.985349333979817,0.970508240516446,"Muy bajo"
"1196","2603000017660","26","Sonora","030","Hermosillo","0001","Hermosillo","7660",503,0,3.00546448087432,8.16733067729084,0,0,0,0,0,1.39165009940358,0,6.75944333996024,126.987143879979,"Muy bajo",0.991975953556364,0.985796745102354,"Muy bajo"
"1197","2603000017675","26","Sonora","030","Hermosillo","0001","Hermosillo","7675",329,14.2857142857143,2.51046025104602,17.629179331307,0,0,0,0,0,2.73556231003039,1.21580547112462,5.16717325227964,123.674969310709,"Bajo",0.966102487736846,0.92610317189117,"Bajo"
"1198","260300001768A","26","Sonora","030","Hermosillo","0001","Hermosillo","768A",139,0,0,17.2661870503597,0,0,0,4.31654676258993,0,6.47482014388489,0,2.87769784172662,126.134812946462,"Muy bajo",0.985317863889268,0.970435634775592,"Muy bajo"
"1199","2603000017707","26","Sonora","030","Hermosillo","0001","Hermosillo","7707",1460,4.78260869565217,3.60443622920518,6.98478561549101,0,0,0,0.346981263011797,0,0.138792505204719,0.138792505204719,0.84328882642305,126.320546676306,"Muy bajo",0.986768746145064,0.973783015708678,"Muy bajo"
"1200","2603000017711","26","Sonora","030","Hermosillo","0001","Hermosillo","7711",874,1.11111111111111,2.33722871452421,15.2173913043478,0,0,0,0,0,3.89016018306636,0.68649885583524,3.20366132723112,126.332317959538,"Muy bajo",0.98686069899597,0.97399516333034,"Muy bajo"
"1201","2603000017726","26","Sonora","030","Hermosillo","0001","Hermosillo","7726",397,3.06122448979592,18.3908045977011,15.3652392947103,0,0.251889168765743,0,0,3.02267002518892,60.4534005037783,3.27455919395466,26.9521410579345,123.030545360949,"Bajo",0.961068489471149,0.9144890593438,"Bajo"
"1202","2603000017798","26","Sonora","030","Hermosillo","0001","Hermosillo","7798",1258,2.97397769516729,19.4679564691657,15.3418124006359,0,0.159616919393456,0,0.319233838786911,8.77893056664006,36.073423782921,6.14525139664804,24.7406225059856,122.833780494816,"Bajo",0.959531436114838,0.910942870066558,"Bajo"
"1203","2603000017800","26","Sonora","030","Hermosillo","0001","Hermosillo","7800",2708,4.25925925925926,24.9446902654867,25.6002955301071,0,0.480413895048041,0.184774575018477,0.14792899408284,6.72579453067258,67.960088691796,4.98891352549889,37.1766444937177,120.785530347496,"Medio",0.943531273965115,0.874028339275141,"Medio"
"1204","2603000017815","26","Sonora","030","Hermosillo","0001","Hermosillo","7815",2062,2.17391304347826,8.80056777856636,14.9854510184287,0,0.0484966052376334,0,0.1454898157129,1.50339476236663,24.7817652764307,1.454898157129,16.537342386033,124.891861889842,"Muy bajo",0.975608396285363,0.94803458424382,"Muy bajo"
"1205","260300001782A","26","Sonora","030","Hermosillo","0001","Hermosillo","782A",122,4.76190476190476,7.36842105263158,3.27868852459016,0,0,0,0,0,9.83606557377049,4.91803278688525,9.83606557377049,125.642381600219,"Muy bajo",0.981471174851895,0.961560804659099,"Muy bajo"
"1206","2603000017834","26","Sonora","030","Hermosillo","0001","Hermosillo","7834",447,0,4.63768115942029,8.05369127516778,0,0,0,0,0,0.894854586129754,0.894854586129754,3.57941834451902,126.925361773714,"Muy bajo",0.991493334907713,0.984683278826244,"Muy bajo"
"1207","2603000017868","26","Sonora","030","Hermosillo","0001","Hermosillo","7868",927,1.98019801980198,8.29187396351576,11.5926327193933,0,0,0,0,0.431499460625674,20.2804746494067,0.431499460625674,19.6332254584682,125.339529363167,"Muy bajo",0.979105406731934,0.956102658717045,"Muy bajo"
"1208","2603000017872","26","Sonora","030","Hermosillo","0001","Hermosillo","7872",1359,0.515463917525773,11.027027027027,8.75643855776306,0,0,0,0,1.03016924208977,32.8918322295806,2.2075055187638,20.6769683590876,125.280090341776,"Muy bajo",0.978641091383766,0.955031420622313,"Muy bajo"
"1209","2603000017887","26","Sonora","030","Hermosillo","0001","Hermosillo","7887",768,1.09289617486339,10.9561752988048,13.8020833333333,0,0,0,0,3.125,21.7447916666667,2.08333333333333,20.8333333333333,124.838747061344,"Muy bajo",0.975193483160798,0.947077323738,"Muy bajo"
"1210","2603000017904","26","Sonora","030","Hermosillo","0001","Hermosillo","7904",3499,3.27169274537696,6.26856244284051,9.12210466113812,0,0,0,0.429553264604811,1.51949541284404,19.5010037281331,1.57683486238532,15.2920962199313,125.379366702025,"Muy bajo",0.979416601085892,0.95682062603849,"Muy bajo"
"1211","2603000017923","26","Sonora","030","Hermosillo","0001","Hermosillo","7923",4191,3.15560391730141,13.1352899069435,17.2397325692455,0,0.095488183337312,0,0.23872045834328,3.17498209596562,31.1185468451243,2.91238959178802,18.4292193841012,123.900813748511,"Muy bajo",0.967866699803506,0.930173446932634,"Bajo"
"1212","2603000017938","26","Sonora","030","Hermosillo","0001","Hermosillo","7938",1404,6.22837370242214,23.1656184486373,19.8717948717949,0,0.142450142450142,0.0712250712250712,0.783475783475784,6.62393162393162,47.7207977207977,7.12250712250712,54.6296296296296,120.612049222511,"Medio",0.942176104464305,0.870901780569229,"Medio"
"1213","2603000017957","26","Sonora","030","Hermosillo","0001","Hermosillo","7957",575,1.5748031496063,2.27848101265823,10.6086956521739,0,0,0,0,0,1.56521739130435,0,8.8695652173913,126.502871574903,"Muy bajo",0.988192999889316,0.977068961076292,"Muy bajo"
"1214","2603000017976","26","Sonora","030","Hermosillo","0001","Hermosillo","7976",103,0,0,5.8252427184466,0,0,0,0,0,9.70873786407767,6.79611650485437,8.7378640776699,126.699913083335,"Muy bajo",0.989732214271535,0.980620136131603,"Muy bajo"
"1215","2603000017980","26","Sonora","030","Hermosillo","0001","Hermosillo","7980",767,0.746268656716418,2.17391304347826,17.562254259502,0,0,0,1.82529335071708,0,6.64928292046936,0.651890482398957,6.91003911342894,125.909403852418,"Muy bajo",0.983557052564809,0.966373205704787,"Muy bajo"
"1216","2603000017995","26","Sonora","030","Hermosillo","0001","Hermosillo","7995",200,0,0.704225352112676,8.5,0,0,0,1,0,3.53535353535354,0,0,127.192305579094,"Muy bajo",0.99357859982349,0.989494266066339,"Muy bajo"
"1217","260300001800A","26","Sonora","030","Hermosillo","0001","Hermosillo","800A",221,3.125,1.14285714285714,11.7647058823529,0,0,0,0,0,1.84331797235023,0,1.38248847926267,126.434312113849,"Muy bajo",0.987657439086252,0.975833350113719,"Muy bajo"
"1218","2603000018014","26","Sonora","030","Hermosillo","0001","Hermosillo","8014",2723,0.421052631578947,1.32315521628499,8.39160839160839,0,0,0,0.667160859896219,0.259451445515196,1.18606375092661,0.518902891030393,3.0763528539659,127.001561400973,"Muy bajo",0.992088577824446,0.986056584469809,"Muy bajo"
"1219","2603000018029","26","Sonora","030","Hermosillo","0001","Hermosillo","8029",4041,2.51196172248804,22.3760932944606,19.5194451325242,0,0.247954376394743,0.123977188197372,0.322420634920635,5.85172328291594,29.2090255393008,3.24820233077114,40.7636994792958,122.348915141595,"Bajo",0.955743849778044,0.902204397846948,"Bajo"
"1220","2603000018033","26","Sonora","030","Hermosillo","0001","Hermosillo","8033",5932,5.13029315960912,26.7351540967176,18.5085203306901,0.0168577208361429,0.134861766689144,0.185434929197572,0.202292650033715,7.40053944706676,41.6385704652731,6.22049898853675,42.8691840863115,121.179591067963,"Bajo",0.946609528558461,0.881130287549574,"Medio"
"1221","2603000018048","26","Sonora","030","Hermosillo","0001","Hermosillo","8048",1512,1.73010380622837,6.88336520076482,12.2354497354497,0,0,0,0.398406374501992,1.46082337317397,18.5922974767596,1.12881806108898,10.4249667994688,125.584065697182,"Muy bajo",0.981015632883195,0.960509807933379,"Muy bajo"
"1222","2603000018052","26","Sonora","030","Hermosillo","0001","Hermosillo","8052",2283,0.956022944550669,6.40326975476839,15.3745072273325,0,0,0,0.394563787812363,0,23.893029373082,0.657606313020605,13.5466900482245,125.474414765182,"Muy bajo",0.980159080916548,0.958533627089004,"Muy bajo"
"1223","2603000018067","26","Sonora","030","Hermosillo","0001","Hermosillo","8067",1952,0.992555831265509,3.18518518518519,17.4180327868852,0,0,0,0.256147540983607,0.0512295081967213,7.99180327868853,0.614754098360656,7.37704918032787,125.932710830984,"Muy bajo",0.983739117942305,0.966793255071831,"Muy bajo"
"1224","2603000018071","26","Sonora","030","Hermosillo","0001","Hermosillo","8071",1286,0.806451612903226,2.20507166482911,7.3094867807154,0,0,0,0.31104199066874,0,3.18818040435459,1.24707716289945,8.16485225505443,126.77097778346,"Muy bajo",0.990287345062858,0.981900897695019,"Muy bajo"
"1225","2603000018090","26","Sonora","030","Hermosillo","0001","Hermosillo","8090",736,1.3986013986014,5.29531568228106,17.6630434782609,0,0,0,0.543478260869565,0.951086956521739,29.7554347826087,0.407608695652174,12.6358695652174,125.201711108871,"Muy bajo",0.978028822204984,0.953618833097169,"Muy bajo"
"1226","2603000018122","26","Sonora","030","Hermosillo","0001","Hermosillo","8122",393,5,20.7692307692308,18.2989690721649,0,0,0,0,2.54452926208651,32.824427480916,3.30788804071247,20.3562340966921,122.965088137615,"Bajo",0.960557162185957,0.913309358373464,"Bajo"
"1227","2603000018137","26","Sonora","030","Hermosillo","0001","Hermosillo","8137",2889,0.892857142857143,5.36340852130326,11.699550017307,0,0,0,0.346140533056421,0.553824852890274,11.5264797507788,0.83073727933541,10.7761607761608,126.031685191133,"Muy bajo",0.984512268532881,0.968577017699682,"Muy bajo"
"1228","2603000018141","26","Sonora","030","Hermosillo","0001","Hermosillo","8141",452,0.943396226415094,21.1567310577212,22.1238938053097,0,0,0,0.221238938053097,5.75221238938053,45.575221238938,6.85840707964602,50.6637168141593,121.85590083272,"Bajo",0.951892606855179,0.893319061302782,"Medio"
"1229","2603000018211","26","Sonora","030","Hermosillo","0001","Hermosillo","8211",678,0,1.23456790123457,6.48967551622419,0,0,0,0,0.294985250737463,0.442477876106195,0,13.1268436578171,127.032282365386,"Muy bajo",0.99232855847947,0.98661025218869,"Muy bajo"
"1230","260300001825A","26","Sonora","030","Hermosillo","0001","Hermosillo","825A",1760,5.35714285714286,20.5673758865248,19.4886363636364,0,0.170648464163823,0,1.08077360637088,4.77815699658703,50.9101251422071,4.37997724687145,27.1899886234357,122.024484717068,"Bajo",0.953209520948377,0.896357359626765,"Bajo"
"1231","2603000018264","26","Sonora","030","Hermosillo","0001","Hermosillo","8264",141,3.125,22.3404255319149,10.6382978723404,0,0,0,0,0.709219858156028,32.6241134751773,0,20.5673758865248,124.105566932438,"Muy bajo",0.969466154903159,0.933863605443109,"Bajo"
"1232","2603000018279","26","Sonora","030","Hermosillo","0001","Hermosillo","8279",3314,4.50819672131148,25.84686774942,24.7883917775091,0,0.575757575757576,0.0303030303030303,0.363636363636364,8.96969696969697,67.7899210686096,6.24242424242424,30.6666666666667,120.686075832627,"Medio",0.942754372585903,0.872235923072325,"Medio"
"1233","2603000018283","26","Sonora","030","Hermosillo","0001","Hermosillo","8283",2388,1.96428571428571,13.7704918032787,16.9179229480737,0,0,0,0,2.5963149078727,37.1021775544389,2.55443886097152,22.6130653266332,124.007916508004,"Muy bajo",0.968703346401976,0.932103703409522,"Bajo"
"1234","2603000018298","26","Sonora","030","Hermosillo","0001","Hermosillo","8298",497,4.49438202247191,7.38461538461539,11.6700201207243,0,0,0,0,2.41448692152917,29.9798792756539,2.41448692152917,27.1629778672032,124.335209046807,"Muy bajo",0.97126003299521,0.938002324003912,"Muy bajo"
"1235","2603000018300","26","Sonora","030","Hermosillo","0001","Hermosillo","8300",417,0,0.677966101694915,14.6282973621103,0,0,0,0,0,4.55635491606715,0.959232613908873,8.39328537170264,126.501442307427,"Muy bajo",0.988181834987701,0.977043202143322,"Muy bajo"
"1236","2603000018315","26","Sonora","030","Hermosillo","0001","Hermosillo","8315",86,0,7.2463768115942,9.30232558139535,0,0,0,0,0,2.32558139534884,0,4.65116279069767,126.674608795319,"Muy bajo",0.989534546661518,0.980164090311056,"Muy bajo"
"1237","2603000018334","26","Sonora","030","Hermosillo","0001","Hermosillo","8334",504,1.40845070422535,1.91256830601093,16.7338709677419,0,0,0,2.97619047619048,0,4.56349206349206,0.396825396825397,6.34920634920635,125.816617860612,"Muy bajo",0.982832243187371,0.964700972771707,"Muy bajo"
"1238","2603000018391","26","Sonora","030","Hermosillo","0001","Hermosillo","8391",89,18.75,32.7586206896552,32.5842696629214,7.86516853932584,0,26.9662921348315,42.6966292134831,10.1123595505618,82.0224719101124,14.6067415730337,58.4269662921348,107.108936592255,"Muy alto",0.836694851653102,0.627542312185078,"Muy alto"
