"","CVE_LOC","ENT","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","POB_TOT","ANALF","SBASC","OVSDE","OVSEE","OVSAE","OVPT","OVSREF","OVHAC","IM_2020","GM_2020","IMN_2020","IMNSon_2020","GMSon_2020"
"922","260300817","26","Sonora","030","Hermosillo","0817","Jacinto López (La Galera)",68,12.280701754386,63.1578947368421,0,0,7.35294117647059,7.35294117647059,11.7647058823529,39.7058823529412,21.6706359060221,"Bajo",0.827709983308212,0.812270192633152,"Medio"
"923","260300820","26","Sonora","030","Hermosillo","0820","La Herradura",16,0,43.75,0,6.25,6.25,0,6.25,0,24.3057360744682,"Muy bajo",0.928357639699039,0.92193740091937,"Muy bajo"
"924","260300856","26","Sonora","030","Hermosillo","0856","San Leonardo",36,11.1111111111111,70.3703703703704,0,0,0,0,30.5555555555556,52.7777777777778,20.9463191388168,"Medio",0.800044702884821,0.782125684759986,"Medio"
"925","260300857","26","Sonora","030","Hermosillo","0857","Los Cuatro (Palermo)",9,0,77.7777777777778,0,0,0,55.5555555555556,22.2222222222222,0,21.5944439924454,"Bajo",0.824799833011366,0.809099248865625,"Medio"
"926","260300861","26","Sonora","030","Hermosillo","0861","Campo Dolores",159,25.2336448598131,68.2242990654206,0,0,0,15.0943396226415,11.9496855345912,56.6037735849057,20.3149892974912,"Medio",0.775931058287967,0.755851092987337,"Medio"
"927","260300862","26","Sonora","030","Hermosillo","0862","Campo Luisa",42,3.7037037037037,74.0740740740741,0,0,0,0,26.1904761904762,73.8095238095238,20.7135814652806,"Medio",0.791155286962128,0.772439642754685,"Medio"
"928","260300866","26","Sonora","030","Hermosillo","0866","Suaqui de la Candelaria",167,15.8536585365854,77.4390243902439,2.77777777777778,0,0,8.33333333333333,0,19.4444444444444,22.0996255414194,"Bajo",0.844095243320607,0.830123819702474,"Medio"
"929","260300869","26","Sonora","030","Hermosillo","0869","El Mohino",8,28.5714285714286,85.7142857142857,0,0,0,0,0,0,22.1075300955799,"Bajo",0.844397157783136,0.830452790266064,"Medio"
"930","260300898","26","Sonora","030","Hermosillo","0898","La Valenciana (La Peaña)",9,25,87.5,0,0,77.7777777777778,0,0,33.3333333333333,19.1396645554076,"Medio",0.731039527330107,0.706936602055466,"Alto"
"931","260300921","26","Sonora","030","Hermosillo","0921","San Eduardo Dos",6,0,25,0,0,0,0,0,0,25.4227518198964,"Muy bajo",0.971022058408894,0.968425196669881,"Muy bajo"
"932","260300932","26","Sonora","030","Hermosillo","0932","El Realito",150,2.63157894736842,50.8771929824561,5.33333333333333,3.33333333333333,0.666666666666667,8,4.66666666666667,27.3333333333333,23.0096357368912,"Bajo",0.878853084621191,0.867996489153305,"Bajo"
"933","260300947","26","Sonora","030","Hermosillo","0947","Los Janos Uno",11,50,100,0,0,0,0,27.2727272727273,63.6363636363636,17.8147732315276,"Alto",0.680435300470794,0.651797471288292,"Alto"
"934","260300952","26","Sonora","030","Hermosillo","0952","El Rosario",23,0,46.1538461538462,4.34782608695652,0,0,0,8.69565217391304,82.6086956521739,21.8713366365819,"Bajo",0.835375748127577,0.820622925893564,"Medio"
"935","260300954","26","Sonora","030","Hermosillo","0954","Real de los Ojos Negros (Tláloc)",15,0,25,0,0,0,0,0,100,22.4017981835767,"Bajo",0.855636728013574,0.842699595941524,"Bajo"
"936","260300964","26","Sonora","030","Hermosillo","0964","Departamento de Agricultura y Ganadería",15,0,22.2222222222222,0,0,0,0,0,33.3333333333333,24.5000655101765,"Muy bajo",0.935780052898355,0.930024974574884,"Muy bajo"
"937","260300967","26","Sonora","030","Hermosillo","0967","Las Palmas [Viñedo]",10,0,40,0,0,0,0,40,40,22.5384962264692,"Bajo",0.860857910044941,0.848388674831853,"Bajo"
"938","260300968","26","Sonora","030","Hermosillo","0968","Granja Santa Raquel",45,25,66.6666666666667,0,0,0,42.2222222222222,28.8888888888889,77.7777777777778,18.4615859025698,"Alto",0.705140311780734,0.678716425173518,"Alto"
"939","260300969","26","Sonora","030","Hermosillo","0969","La Gallinita",22,12.5,50,0,0,0,13.6363636363636,27.2727272727273,45.4545454545455,21.4342435440692,"Bajo",0.818680976553879,0.802432050346953,"Medio"
"940","260300989","26","Sonora","030","Hermosillo","0989","San Arturo",534,18.7341772151899,61.5189873417721,0,0,0,0,27.8481012658228,87.3417721518987,19.8604673516323,"Medio",0.758570591624619,0.736934866005135,"Alto"
"941","260300999","26","Sonora","030","Hermosillo","0999","María del Carmen",64,7.14285714285714,76.1904761904762,1.5625,0,0,0,12.5,45.3125,21.6973787201191,"Bajo",0.828731425148029,0.813383171106932,"Medio"
"942","260301000","26","Sonora","030","Hermosillo","1000","San Antonio Escalante (AGROPREMIER)",10,0,33.3333333333333,0,0,0,0,0,70,23.0551895673124,"Muy bajo",0.880593013268468,0.869892341716656,"Bajo"
"943","260301007","26","Sonora","030","Hermosillo","1007","Aquiles Serdán (Santa Inés)",33,10.5263157894737,47.3684210526316,0,0,0,0,0,66.6666666666667,22.1873852516368,"Bajo",0.847447225634103,0.833776190316235,"Bajo"
"944","260301008","26","Sonora","030","Hermosillo","1008","Alejandro Carrillo Marcor",1244,11.4014251781473,59.144893111639,2.65183917878529,2.30966638152267,0.76988879384089,15.9110350727117,20.0171086398631,60.5645851154833,20.7336699817946,"Medio",0.791922567891983,0.773275683657829,"Medio"
"945","260301012","26","Sonora","030","Hermosillo","1012","Las Abejas",13,10,50,0,0,0,0,0,53.8461538461538,22.5219542555298,"Bajo",0.860226089430656,0.847700233536832,"Bajo"
"946","260301032","26","Sonora","030","Hermosillo","1032","San Enrique",110,4.70588235294118,60,0,0,0.909090909090909,0,0,44.5454545454545,22.7478959950386,"Bajo",0.868855934639097,0.857103443366944,"Bajo"
"947","260301034","26","Sonora","030","Hermosillo","1034","Agroval Dos (Santa Martha Dos)",5,0,60,0,0,0,0,0,0,24.3605940498237,"Muy bajo",0.930452940181346,0.924220472007715,"Muy bajo"
"948","260301052","26","Sonora","030","Hermosillo","1052","El Carrizo (San Isidro)",8,0,75,25,0,25,0,25,75,19.3507301447703,"Medio",0.739101177952911,0.715720698473456,"Alto"
"949","260301063","26","Sonora","030","Hermosillo","1063","El Guamuchilar (Centrito)",51,4.8780487804878,46.3414634146341,0,0,0,0,72.5490196078431,84.3137254901961,19.7626301588354,"Medio",0.754833699843132,0.732863092214872,"Alto"
"950","260301064","26","Sonora","030","Hermosillo","1064","La Habana [Porcícola y Avícola]",43,5.88235294117647,67.6470588235294,0,0,0,9.30232558139535,11.6279069767442,44.1860465116279,21.8763554478663,"Bajo",0.835567441634977,0.820831798037806,"Medio"
"951","260301068","26","Sonora","030","Hermosillo","1068","Viñedo Proyecto Vid (El Buelna)",11,0,42.8571428571429,9.09090909090909,0,0,0,9.09090909090909,45.4545454545455,22.9197092327785,"Bajo",0.87541834161038,0.86425394123233,"Bajo"
"952","260301081","26","Sonora","030","Hermosillo","1081","Francisco Eusebio Kino (Colonia Kino)",7,16.6666666666667,66.6666666666667,0,0,0,0,0,42.8571428571429,22.004507034776,"Bajo",0.840462191762383,0.826165191789636,"Medio"
"953","260301085","26","Sonora","030","Hermosillo","1085","San Vicente",9,0,71.4285714285714,0,0,0,0,0,55.5555555555556,22.335459447128,"Bajo",0.853102919837536,0.839938720239461,"Bajo"
"954","260301086","26","Sonora","030","Hermosillo","1086","Santa Fe",22,7.14285714285714,42.8571428571429,0,0,0,0,0,50,23.0021819862131,"Bajo",0.878568388598605,0.867686280062236,"Bajo"
"955","260301087","26","Sonora","030","Hermosillo","1087","El Milagro",7,20,80,0,0,100,0,0,0,20.034612483213,"Medio",0.765222065285982,0.744182412282798,"Medio"
"956","260301092","26","Sonora","030","Hermosillo","1092","Santa Zarina",25,0,23.8095238095238,0,0,0,4,8,0,25.1032552715318,"Muy bajo",0.958818887082463,0.955128436669714,"Muy bajo"
"957","260301093","26","Sonora","030","Hermosillo","1093","El Tecolote",9,0,42.8571428571429,0,0,0,0,0,0,24.8808345902675,"Muy bajo",0.950323528700962,0.945871765719798,"Muy bajo"
"958","260301094","26","Sonora","030","Hermosillo","1094","San Sebastián",10,20,100,0,0,0,0,10,40,20.6022598839196,"Medio",0.786903358931507,0.76780667767956,"Medio"
"959","260301100","26","Sonora","030","Hermosillo","1100","San Martín",12,36.3636363636364,72.7272727272727,0,8.33333333333333,75,50,91.6666666666667,50,14.130068983635,"Muy alto",0.539698014091884,0.498447995975921,"Muy alto"
"960","260301102","26","Sonora","030","Hermosillo","1102","San José",24,6.25,56.25,0,0,0,0,12.5,83.3333333333333,21.2533240961599,"Bajo",0.811770757866314,0.794902571576285,"Medio"
"961","260301103","26","Sonora","030","Hermosillo","1103","La Tinajita",11,11.1111111111111,66.6666666666667,9.09090909090909,0,9.09090909090909,0,18.1818181818182,27.2727272727273,21.6518992227728,"Bajo",0.826994335652706,0.811490412126475,"Medio"
"962","260301111","26","Sonora","030","Hermosillo","1111","La Mina (Retiros Espirituales)",8,14.2857142857143,71.4285714285714,0,62.5,25,37.5,62.5,37.5,16.6273505344543,"Alto",0.635081688097048,0.602379489458588,"Alto"
"963","260301116","26","Sonora","030","Hermosillo","1116","San Jorge",27,25,68.75,0,0,0,0,7.40740740740741,51.8518518518518,21.0139701256179,"Medio",0.802628632465787,0.784941173502738,"Medio"
"964","260301118","26","Sonora","030","Hermosillo","1118","Costa Rica",27,11.7647058823529,64.7058823529412,0,0,0,0,0,74.0740740740741,21.3736323099961,"Bajo",0.816365930342934,0.799909540989937,"Medio"
"965","260301119","26","Sonora","030","Hermosillo","1119","La Providencia",7,33.3333333333333,100,0,0,0,0,28.5714285714286,0,20.5566431693677,"Medio",0.785161028424733,0.765908208013776,"Medio"
"966","260301124","26","Sonora","030","Hermosillo","1124","San José",12,30,70,41.6666666666667,0,0,0,0,50,19.5769921215845,"Medio",0.747743254625894,0.725137235892285,"Alto"
"967","260301126","26","Sonora","030","Hermosillo","1126","Santa María (La Treinta y Uno de Octubre)",80,27.4509803921569,86.2745098039216,3.75,0,0,3.75,10,56.25,19.911207910218,"Medio",0.760508627364877,0.739046579052559,"Alto"
