"","CVEGEO","CVE_ENT","CVE_MUN","CVE_LOC","CVE_AGEB","...1","ENT","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","AGEB","POB_TOTAL","P6A14NAE","SBASC","PSDSS","OVSDE","OVSEE","OVSAE","OVPT","OVSREF","OVSINT","OVSCEL","OVHAC","IM_2020","GM_2020","IMN_2020","IMNSon_2020","GMSon_2020"
"90","2602500010502","26","025","0001","0502",614,26,"Sonora","025","Empalme","0001","Empalme","0502",1125,3.2258064516129,20.8149779735683,12.8,0.355555555555556,0.355555555555556,0,0,1.51111111111111,24.0888888888889,4.44444444444444,17.8666666666667,123.633830059506,"Bajo",0.965781123331805,0.925361740891028,"Bajo"
"91","2602500010517","26","025","0001","0517",615,26,"Sonora","025","Empalme","0001","Empalme","0517",954,3.97350993377483,21.7329545454545,12.2641509433962,0,0.528541226215645,0,0.317124735729387,0.951374207188161,37.737843551797,5.28541226215645,22.6215644820296,123.140461882603,"Bajo",0.961927116124587,0.916470026770259,"Bajo"
"92","2602500010521","26","025","0001","0521",616,26,"Sonora","025","Empalme","0001","Empalme","0521",985,5.91715976331361,19.8601398601399,13.4010152284264,0,0.101522842639594,0,0.101522842639594,2.74111675126904,41.2182741116751,4.16243654822335,33.6040609137056,122.598496240991,"Bajo",0.957693483744906,0.906702466205768,"Bajo"
"93","2602500010540","26","025","0001","0540",618,26,"Sonora","025","Empalme","0001","Empalme","0540",687,9.09090909090909,18.3445015843333,10.5109489051095,0,0,0,0,2.4745269286754,20.3784570596798,3.05676855895197,13.9737991266376,123.337753356624,"Bajo",0.96346828314426,0.920025706823383,"Bajo"
"94","2602500010574","26","025","0001","0574",620,26,"Sonora","025","Empalme","0001","Empalme","0574",81,0,23.8095238095238,4.93827160493827,0,0,0,0,1.23456790123457,16.0493827160494,8.64197530864197,25.9259259259259,124.391730984536,"Muy bajo",0.97170156117958,0.93902098904022,"Muy bajo"
"95","2602500010818","26","025","0001","0818",628,26,"Sonora","025","Empalme","0001","Empalme","0818",99,20.8333333333333,29.0322580645161,20.4081632653061,0,0,0,0,7.07070707070707,54.5454545454545,10.1010101010101,66.6666666666667,116.980629692989,"Alto",0.913808816717718,0.805454624022217,"Alto"
"96","2602500010659","26","025","0001","0659",623,26,"Sonora","025","Empalme","0001","Empalme","0659",340,0,12.9770992366412,7.66961651917404,0,0,1.47058823529412,0,1.17647058823529,36.4705882352941,2.64705882352941,22.6470588235294,125.068223564021,"Muy bajo",0.976986067556402,0.951213057566732,"Muy bajo"
"97","260250001070A","26","025","0001","070A",625,26,"Sonora","025","Empalme","0001","Empalme","070A",101,0,14.9253731343284,9,0,0,0,0,1.98019801980198,41.5841584158416,7.92079207920792,63.3663366336634,123.229568010322,"Bajo",0.962623179783555,0.918075939456115,"Bajo"
"98","2602500010146","26","025","0001","0146",591,26,"Sonora","025","Empalme","0001","Empalme","0146",868,8.13953488372093,19.1218130311615,13.6101499423299,0.230414746543779,0.230414746543779,0.230414746543779,1.38248847926267,2.07373271889401,22.8110599078341,6.56682027649769,17.0506912442396,122.575286902536,"Bajo",0.957512181095347,0.906284176554884,"Bajo"
"99","2602500010292","26","025","0001","0292",601,26,"Sonora","025","Empalme","0001","Empalme","0292",1097,1.27388535031847,28.8941736028537,11.0401459854015,0.920810313075507,1.10497237569061,1.28913443830571,1.38121546961326,4.69613259668508,35.7274401473296,7.4585635359116,28.5451197053407,122.077394759092,"Bajo",0.953622834357792,0.897310929374106,"Bajo"
